regio_level,Vuosi,aluekoodi,aluenimi,kuntanimi,kuntanro,variable,value,hyvinvointialue_code,hyvinvointialue_name_fi
Postinumeroalueet,2022-2024,p00500,Sörnäinen - Harju (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),96.6930073998953,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00500,Sörnäinen - Harju (Helsinki),Helsinki,91,Työttömät (med.),187.5190454022348,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00500,Sörnäinen - Harju (Helsinki),Helsinki,91,Kokonaislukema (med.),117.65263008604855,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00510,Alppila - Vallila (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),64.5814375195484,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00510,Alppila - Vallila (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),81.33074986180758,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00510,Alppila - Vallila (Helsinki),Helsinki,91,Työttömät (med.),173.1381636326667,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00510,Alppila - Vallila (Helsinki),Helsinki,91,Kokonaislukema (med.),106.35011700467423,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00520,Itä- ja Keski-Pasila (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),81.13563680516275,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00520,Itä- ja Keski-Pasila (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),87.48103041348669,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00520,Itä- ja Keski-Pasila (Helsinki),Helsinki,91,Työttömät (med.),127.5174471532666,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00520,Itä- ja Keski-Pasila (Helsinki),Helsinki,91,Kokonaislukema (med.),98.71137145730535,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00530,Kallio (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),68.94743666027748,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00530,Kallio (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),88.94528729556768,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00530,Kallio (Helsinki),Helsinki,91,Työttömät (med.),155.1081351843793,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00530,Kallio (Helsinki),Helsinki,91,Kokonaislukema (med.),104.33361971340815,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00540,Kalasatama - Sompasaari (Helsinki),Helsinki,91,Peruskoulutuksen omaavat (med.),58.92739366633229,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00540,Kalasatama - Sompasaari (Helsinki),Helsinki,91,Alimpaan tuloluokkaan kuuluvat täysi-ikäiset (med.),65.8821018031189,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00540,Kalasatama - Sompasaari (Helsinki),Helsinki,91,Työttömät (med.),96.20875962680266,90,Helsingin kaupunki
Postinumeroalueet,2022-2024,p00540,Kalasatama - Sompasaari (Helsinki),Helsinki,91,Kokonaislukema (med.),73.67275169875128,90,Helsingin kaupunki
